image1;image2;similar;elapsed
/app/tests/img/img-010.jpg;/app/tests/img/img-013.jpg;1;3.31
/app/tests/img/img-011.jpg;/app/tests/img/img-001.jpeg;1;3.65
/app/tests/img/img-011.jpg;/app/tests/img/img-002.png;1;3.99
/app/tests/img/img-011.jpg;/app/tests/img/img-003.gif;1;3.29
/app/tests/img/img-011.jpg;/app/tests/img/img-004.jpeg;1;3.04
/app/tests/img/img-011.jpg;/app/tests/img/img-005.png;1;3.1
/app/tests/img/img-011.jpg;/app/tests/img/img-006.gif;1;3.0
/app/tests/img/img-011.jpg;/app/tests/img/img-007.jpeg;1;2.99
/app/tests/img/img-011.jpg;/app/tests/img/img-008.png;1;2.98
/app/tests/img/img-011.jpg;/app/tests/img/img-009.gif;1;2.97
/app/tests/img/img-011.jpg;/app/tests/img/img-010.jpg;0.5;3.48
/app/tests/img/img-011.jpg;/app/tests/img/img-011.jpg;0;4.03
/app/tests/img/img-011.jpg;/app/tests/img/img-012.jpg;1;3.24
/app/tests/img/img-011.jpg;/app/tests/img/img-013.jpg;1;3.11
/app/tests/img/img-012.jpg;/app/tests/img/img-001.jpeg;1;3.37
/app/tests/img/img-012.jpg;/app/tests/img/img-002.png;1;4.39
/app/tests/img/img-012.jpg;/app/tests/img/img-003.gif;1;3.23
/app/tests/img/img-012.jpg;/app/tests/img/img-004.jpeg;1;3.14
/app/tests/img/img-012.jpg;/app/tests/img/img-005.png;1;3.01
/app/tests/img/img-012.jpg;/app/tests/img/img-006.gif;1;2.82
/app/tests/img/img-012.jpg;/app/tests/img/img-007.jpeg;1;3.43
/app/tests/img/img-012.jpg;/app/tests/img/img-008.png;1;3.13
/app/tests/img/img-012.jpg;/app/tests/img/img-009.gif;1;3.12
/app/tests/img/img-012.jpg;/app/tests/img/img-010.jpg;1;3.1
/app/tests/img/img-012.jpg;/app/tests/img/img-011.jpg;1;3.32
/app/tests/img/img-012.jpg;/app/tests/img/img-012.jpg;0;2.94
/app/tests/img/img-012.jpg;/app/tests/img/img-013.jpg;1;2.81
/app/tests/img/img-013.jpg;/app/tests/img/img-001.jpeg;1;3.02
/app/tests/img/img-013.jpg;/app/tests/img/img-002.png;1;3.3
/app/tests/img/img-013.jpg;/app/tests/img/img-003.gif;1;3.36
/app/tests/img/img-013.jpg;/app/tests/img/img-004.jpeg;1;3.37
/app/tests/img/img-013.jpg;/app/tests/img/img-005.png;1;2.94
/app/tests/img/img-013.jpg;/app/tests/img/img-006.gif;1;2.73
/app/tests/img/img-013.jpg;/app/tests/img/img-007.jpeg;1;3.07
/app/tests/img/img-013.jpg;/app/tests/img/img-008.png;1;3.2
/app/tests/img/img-013.jpg;/app/tests/img/img-009.gif;1;2.96
/app/tests/img/img-013.jpg;/app/tests/img/img-010.jpg;1;3.66
/app/tests/img/img-013.jpg;/app/tests/img/img-011.jpg;1;3.18
/app/tests/img/img-013.jpg;/app/tests/img/img-012.jpg;1;5.02
/app/tests/img/img-013.jpg;/app/tests/img/img-013.jpg;0;4.57
